Show Title,Theatre,Gross,Avg. Tix,SeatsSold,Prev.,RegularShows,TotalPerf.
CATS,WINTER GARDEN,432003657,20,9333667,16,7385,7401
CATSKILLS ON BROADWAY,LUNT-FONTANNE,10354113,0,349212,19,453,472
CELEBRITY AUTOBIOGRAPHY,MARQUIS,223394,54,4124,0,3,3
CHAPLIN,BARRYMORE,8518390,72,118148,24,135,159
CHARLIE AND THE CHOCOLATE FACTORY,LUNT-FONTANNE,43679424,100,436089,27,305,332
CHECKMATES,46TH STREET,2396727,0,125264,16,172,188
CHESS,IMPERIAL,3806343,0,100726,17,68,85
CHICAGO,AMBASSADOR,705226635,73,9753843,25,10008,10033
CHICKEN & BISCUITS,CIRCLE IN THE SQUARE,1291806,45,31232,18,41,59
CHILDREN OF A LESSER GOD,STUDIO 54,3424264,55,62561,23,54,77
CHINA DOLL,SCHOENFELD,12630662,143,86727,40,54,94
CHINESE COFFEE/SALOME,CIRCLE,1395575,0,33793,29,30,59
CHINGLISH,LONGACRE,4325401,61,72385,19,109,128
CHITA RIVERA: THE DANCER'S LIFE,SCHOENFELD,3563420,62,57822,20,72,92
CHITTY CHITTY BANG BANG,HILTON THEATRE,27509505,64,426915,34,285,319
CHOIR BOY,FRIEDMAN,3854430,66,57759,31,72,103
CHRONICLE OF A DEATH FORETOLD,PLYMOUTH,1031381,0,48258,28,37,65
CHU CHEM,RITZ,381039,0,24176,0,68,68
CINDERELLA,BROADWAY,88166620,84,1039923,41,769,810
CIRQUE DREAMS: JUNGLE FANTASY,BROADWAY,5166140,56,92789,10,70,80
CITY OF ANGELS,VIRGINIA,45328992,0,1013486,24,879,903
CLOSER,MUSIC BOX,5318897,40,131326,17,172,189
CLYBOURNE PARK,WALTER KERR,8767402,66,133198,27,157,184
CLYDE'S,HAYES,2099849,60,34848,24,62,86
COASTAL DISTURBANCES,CIRCLE,2440201,0,141800,20,350,370
COLIN QUINN - AN IRISH WAKE,HELEN HAYES,241753,37,6542,2,22,24
COLIN QUINN: LONG STORY SHORT,HELEN HAYES,3075662,58,53090,21,135,156
COLLECTED STORIES,FRIEDMAN,1348639,42,32239,22,54,76
COME BACK LITTLE SHEBA,BILTMORE,2052427,54,37416,27,58,85
COME FLY AWAY,MARQUIS,18368158,85,218299,26,188,214
COME FROM AWAY,SCHOENFELD,197190799,122,1590596,25,1562,1587
COMEDY TONIGHT,LUNT-FONTANNE,134514,0,11981,5,9,14
COMPANY,BARRYMORE,38569057,91,408284,63,479,542
COMPANY - Original,CRITERION,2532590,4,55352,43,60,103
CONSTELLATIONS,FRIEDMAN,6642180,99,66543,29,76,105
CONTACT,VIVIAN BEAUMONT,60218526,64,931293,31,1010,1041
CONVERSATIONS WITH MY FATHER,ROYALE,10168415,0,334950,30,402,432
COPENHAGEN,ROYALE,11570839,44,263203,21,326,347
CORAM BOY,IMPERIAL,1602370,49,33065,17,30,47
CORPSE,HELEN HAYES,686380,0,14293,28,121,149
CRAZY FOR YOU,SHUBERT,92554871,1,2090822,26,1622,1648
CRAZY HE CALLS ME,WALTER KERR,143880,0,11084,16,7,23
CRISS ANGEL,LUNT-FONTANNE,434072,49,8794,0,7,7
CRY BABY,MARQUIS,4077104,34,120932,45,68,113
CUBA TEDDY BEAR,LONGACRE,1503086,0,57994,0,53,53
CURTAINS,AL HIRSCHFELD,43628368,75,582455,26,511,537
CYMBELINE,VIVIAN BEAUMONT,2080001,51,41739,34,40,74
CYRANO,NEIL SIMON,4135600,0,125574,38,137,175
CYRANO DE BERGERAC,RICHARD RODGERS,10467439,69,139229,53,108,161
DAME EDNA: BACK WITH A VENGEANCE,MUSIC BOX,7021853,63,110199,17,163,180
DAME EDNA: THE ROYAL TOUR,BOOTH,9815693,48,203582,39,297,336
DAMES AT SEA,HELEN HAYES,2540354,57,45367,32,85,117
DAMN YANKEES,MARQUIS,27913661,0,657446,18,534,552
DANA H.,LYCEUM,835529,48,16434,10,25,35
DANCE OF DEATH,BROADHURST,5426431,50,108898,27,108,135
DANCE OF THE VAMPIRES,MINSKOFF,9431254,61,156118,61,56,117
DANCING AT LUGHNASA,PLYMOUTH,10017136,0,314779,15,421,436
DANCING INTHE END ZONE,RITZ,113224,0,7958,15,28,43
DANGEROUS GAMES,NEDERLANDER,142550,0,9566,12,4,16
DANNY GANS ON BROADWAY,NEIL SIMON,84362,0,8271,11,6,17
DAVE CHAPPELLE,LUNT-FONTANNE,3069512,212,14913,0,10,10
DEAD ACCOUNTS,MUSIC BOX,3089827,79,39768,27,44,71
DEAR EVAN HANSEN,MUSIC BOX,260312301,166,1550970,21,1583,1604
DEATH AND THE MAIDEN,BROOKS ATKINSON,7232393,0,190203,33,159,192
DEATH OF A SALESMAN,BARRYMORE,12868982,116,110550,30,78,108
DEATH OF A SALESMAN 1984,BROADHURST,3681507,0,102821,0,88,88
DEATHANDKING'S HORSEMAN,VIVIAN BEAUMONT,474221,0,34521,19,33,52
DEF POETRY JAM,LONGACRE,3377597,33,99641,17,198,215
DEFENDING THE CAVEMAN,BOOTH,11720395,25,320334,25,674,699
DEMOCRACY,BROOKS ATKINSON,7091677,56,124982,17,173,190
DERREN BROWN: SECRET,CORT,7258069,82,88119,10,113,123
DESIGN FOR LIVING,AMERICAN AIRLINES,2984209,49,60606,30,69,99
DESIGN FOR LIVING 1985,CIRCLE,2142794,0,107881,17,245,262
DESIRE UNDER THE ELMS,ST. JAMES,1381950,52,26397,16,32,48
DEUCE,MUSIC BOX,5361739,60,86895,27,121,148
DIANA,LONGACRE,376471,69,5448,6,0,6
"DIANA, THE MUSICAL",LONGACRE,2467119,75,34370,16,34,50
DINNER AT EIGHT,VIVIAN BEAUMONT,2606844,42,61990,28,45,73
DIRTY BLONDE,HELEN HAYES,7925422,48,163977,20,352,372
DIRTY ROTTEN SCOUNDRELS,IMPERIAL,58033865,71,808025,36,627,663
DISASTER!,NEDERLANDER,4293431,61,70701,32,72,104
DISGRACED,LYCEUM,8534968,74,114762,27,149,176
DIVIDING THE ESTATE,BOOTH,2796827,54,51037,31,50,81
DOCTOR ZHIVAGO,BROADWAY,3197457,60,54370,26,23,49
DON'T DRESS FOR DINNER,AMERICAN AIRLINES,2130070,44,48420,32,61,93
DON'T GET GOD STARTED,LONGACRE,1865671,0,72528,18,85,103
DONNY AND MARIE: A BROADWAY CHRISTMAS,MARQUIS,2843463,112,24979,0,20,20
DOUBLES,RITZ,2342901,0,122866,10,277,287
DOUBT,WALTER KERR,27656473,67,406085,25,525,550
DR. SEUSS' HOW THE GRINCH STOLE CHRISTMAS!,HILTON THEATRE,22903349,68,322903,35,203,238
DRACULA THE MUSICAL,BELASCO,6109526,58,106028,22,157,179
DREAM: THE JOHNNY MERCER MUSICAL,ROYALE,3311853,39,84598,24,109,133
DREAMGIRLS,AMBASSADOR,4492189,0,154504,7,177,184
DREAMGIRLS 1984-1985,IMPERIAL,15471737,0,545965,0,496,496
DREAMS AND NIGHTMARES,MARTIN BECK,6033691,60,100217,21,55,76
DRIVING MISS DAISY,GOLDEN,13586627,102,131694,20,180,200
DROOD,IMPERIAL,20993477,0,665094,24,608,632
DROWNING CROW,BILTMORE,1619255,48,33799,23,54,77
EASTERN STANDARD,Golden,1197966,0,51347,20,92,112
ECLIPSED,GOLDEN,5744145,74,77911,14,121,135
ELAINE STRITCH AT LIBERTY,NEIL SIMON,5000248,59,84481,11,69,80
ELECTRA,ETHEL BARRYMORE,4629683,42,108893,15,116,131
ELF,AL HIRSCHFELD,17898004,104,168122,7,131,138
ELF-THE MUSICAL,AL HIRSCHFELD,594759,65,9190,8,0,8
ELLING,BARRYMORE,686837,35,20665,22,9,31
ENCHANTED APRIL,BELASCO,3492109,41,85013,24,143,167
END OF THE RAINBOW,BELASCO,6856068,69,99053,16,160,176
ENRON,BROADHURST,1489074,55,27431,22,16,38
EPIC PROPORTIONS,HELEN HAYES,1317751,36,36214,27,93,120
EQUUS,BROADHURST,11962267,86,140597,21,156,177
ESCAPE TO MARGARITAVILLE,MARQUIS,12444604,83,153544,29,124,153
EUGENE ONEGIN,MARTIN BECK,97542,0,4047,0,7,7
EVERYDAY RAPTURE,AMERICAN AIRLINES,2358299,45,53366,11,85,96
EVITA,MARQUIS,52678175,110,474853,26,337,363
EXECUTION OF JUSTICE,VIRGINIA,93247,0,7053,8,12,20
EXIT THE KING,BARRYMORE,6703380,69,96429,21,93,114
FACE VALUE,CORT,50114,0,2816,8,0,8
FAITH HEALER,BOOTH,7583448,76,99297,19,117,136
FALSETTOS,Golden,19931243,16,387283,53,570,623
FARINELLI AND THE KING,BELASCO,12193852,103,118919,14,111,125
FELA!,EUGENE O'NEILL,33452773,73,457401,38,491,529
FENCES,CORT,12908907,117,110215,13,88,101
FENCES 1987-1988,46TH STREET,13796739,0,533252,11,525,536
FESTEN,MUSIC BOX,1853946,53,35065,20,49,69
FIDDLER ON THE ROOF,MINSKOFF,107360337,69,1528524,70,1212,1282
FIDDLER ON THE ROOF 90-91,GERSHWIN,13629209,0,331803,18,241,259
FINDING NEVERLAND,LUNT-FONTANNE,64214541,88,723370,33,565,598
FINIAN'S RAINBOW,ST. JAMES,7888826,60,132659,22,92,114
FIRST DATE,LONGACRE,10018641,63,159061,34,174,208
FISH IN THE DARK,CORT,27652896,126,218241,33,173,206
FLAMENCO PURO,HELLINGER,1431495,0,47604,3,53,56
FLOWER DRUM SONG,VIRGINIA,11264444,64,173290,25,169,194
FLYING OVER SUNSET,VIVIAN BEAUMONT,2274957,57,40067,36,35,71
FOLLIES,MARQUIS,19566692,92,216360,38,152,190
FOLLIES 2001,BELASCO,7080718,55,128928,31,117,148
FOOL FOR LOVE,FRIEDMAN,3721858,71,52876,25,75,100
FOOL MOON,BROOKS ATKINSON,1686553,38,44657,7,49,56
FOOL MOON 1993,RICHARD RODGERS,5666265,0,202319,13,215,228
