Show Title,Theatre,Gross,Avg. Tix,SeatsSold,Prev.,RegularShows,TotalPerf.
THE SECRET GARDEN,ST. JAMES,31609844,0,815536,23,709,732
THE SECRET RAPTURE,ETHEL BARRYMORE,256723,0,14288,19,12,31
THE SHOW-OFF,CRITERION,636120,0,25160,26,45,71
THE SISTERS ROSENSWEIG,ETHEL BARRYMORE,19086077,0,510634,18,556,574
THE SKIN OF OUR TEETH,VIVIAN BEAUMONT,1417678,45,32059,26,35,61
THE SMELL OF THE KILL,HELEN HAYES,533380,30,17858,20,40,60
THE SNOW GEESE,FRIEDMAN,2376183,54,44083,25,60,85
THE SONG OF JACOB ZULU,PLYMOUTH,1281899,0,45768,9,53,62
THE SOUND INSIDE,STUDIO 54,8329312,86,96171,37,100,137
THE SOUND OF MUSIC,MARTIN BECK,34483971,54,642006,38,533,571
THE SPEED OF DARKNESS,LYCEUM,375965,0,24474,16,36,52
THE STORY OF MY LIFE,BOOTH,264611,40,6628,19,5,24
THE SUNSHINE BOYS,LYCEUM,5023827,39,127504,12,230,242
THE TALE OF THE ALLERGIST'S WIFE,ETHEL BARRYMORE,29310727,48,612691,25,777,802
THE TAP DANCE KID,MINSKOFF,14946615,0,595928,0,496,496
THE TEMPEST,BROADHURST,4609277,22,91218,25,70,95
THE TEMPTATIONS AND THE FOUR TOPS ON BROADWAY,PALACE,819461,93,8780,0,7,7
THE TENTH MAN,VIVIAN BEAUMONT,714838,0,47284,35,41,76
THE TERMS OF MY SURRENDER,BELASCO,4209550,59,74484,13,83,96
THE TESTAMENT OF MARY,WALTER KERR,1279803,40,32424,27,16,43
THE THREEPENNY OPERA,STUDIO 54,5806155,59,98279,32,77,109
THE TIMES THEY ARE A-CHANGIN',BROOKS ATKINSON,2636161,53,50023,35,28,63
THE TRIP TO BOUNTIFUL,STEPHEN SONDHEIM,13498945,86,158164,27,187,214
THE VELOCITY OF AUTUMN,BOOTH,544617,29,19293,22,16,38
THE VERTICAL HOUR,MUSIC BOX,7308875,69,104375,23,117,140
THE VIOLET HOUR,BILTMORE,2037981,52,39431,23,54,77
THE VISIT,CRITERION,3201020,26,85742,58,106,164
THE WAVERLY GALLERY,GOLDEN,7668657,77,99041,32,109,141
THE WEDDING SINGER,AL HIRSCHFELD,19995744,66,301613,28,285,313
THE WEIR,WALTER KERR,6874875,38,179837,10,277,287
THE WILD PARTY,VIRGINIA,3919522,50,79170,36,68,104
THE WINSLOW BOY,AMERICAN AIRLINES,2392300,55,42745,32,53,85
THE WOMAN IN WHITE,MARQUIS,10445368,68,152490,20,109,129
THE WOMEN,AMERICAN AIRLINES,4183178,54,77827,32,77,109
THE WORLD ACCORDING TO ME,BROOKS ATKINSON,12989003,0,547826,7,576,583
THE YEAR OF MAGICAL THINKING,BOOTH,7293267,70,100961,23,144,167
THE YOUNG MAN FROM ATLANTA,LONGACRE,1340187,27,50356,17,84,101
THÉRÈSE RAQUIN,STUDIO 54,5184011,73,71091,30,75,105
THIS IS OUR YOUTH,CORT,7229324,65,112415,26,133,159
THOROUGHLY MODERN MILLIE,MARQUIS,75616509,63,1193581,32,903,935
THOSE WERE THE DAYS,EDISON,1106101,0,51567,18,126,144
THOU SHALT NOT,PLYMOUTH,3894953,46,85740,33,85,118
THOUGHTS OF A COLORED MAN,GOLDEN,3839605,77,49442,12,77,89
THREE DAYS OF RAIN,JACOBS,11427896,111,102670,26,70,96
THREE FROM BROOKLYN,HELEN HAYES,214081,0,10061,8,45,53
THREE MEN ON A HORSE,LYCEUM,1031113,0,41277,24,39,63
THREE MUSKETEERS,BROADWAY,407838,0,19845,15,9,24
THREE PENNY OPERA,LUNT-FONTANNE,4721700,0,103647,20,65,85
THREE SISTERS,CRITERION,1708904,39,43322,26,61,87
THREE TALL WOMEN,GOLDEN,13906153,133,102982,30,102,132
THURGOOD,BOOTH,4613166,58,80291,19,126,145
TIME AND THE CONWAYS,AMERICAN AIRLINES,3148688,63,49620,27,56,83
TIME STANDS STILL,FRIEDMAN,10428041,68,154459,44,193,237
TIMON OF ATHENS,LYCEUM,510164,0,20605,16,39,55
TINA - THE TINA TURNER MUSICAL,LUNT-FONTANNE,66650041,131,503118,27,431,458
TITANIC,LUNT-FONTANNE,57150546,53,1065828,26,804,830
TITLE OF SHOW,LYCEUM,2188129,46,47894,13,102,115
TO BE OR NOT TO BE,FRIEDMAN,1166048,53,21960,32,40,72
TO KILL A MOCKINGBIRD,SHUBERT,137973402,144,948725,45,623,668
TOMMY,ST. JAMES,54390759,0,1148704,27,899,926
TOMMY TUNE TONITE,GERSHWIN,744319,0,17511,4,10,14
TOOTSIE,MARQUIS,38439038,97,396058,25,293,318
TOP GIRLS,BILTMORE,2211556,54,41199,25,62,87
TOPDOG / UNDERDOG,AMBASSADOR,5405007,43,121725,31,144,175
TORCH SONG,HAYES,3140498,66,47853,26,77,103
TORCH SONG TRILOGY,HELEN HAYES,1255000,0,100000,0,400,400
TRANSLATIONS,BILTMORE,2141231,49,43049,24,53,77
TRANSLATIONS 1995,PLYMOUTH,935190,0,27707,15,25,40
TRAVESTIES,AMERICAN AIRLINES,4355637,79,54305,27,63,90
TRIUMPH OF LOVE,ROYALE,3700422,46,80669,30,85,115
TROUBLE IN MIND,AMERICAN AIRLINES,1713773,45,37041,20,58,78
TRU,BOOTH,3621706,0,159968,11,297,308
TRUE WEST,CIRCLE,10922725,64,158562,51,215,266
TRULY BLESSED,LONGACRE,324829,0,16920,12,33,45
TUCK EVERLASTING,BROADHURST,2943941,51,59117,28,39,67
TWELFTH NIGHT,VIVIAN BEAUMONT,3602900,42,84557,30,53,83
TWELFTH NIGHT/RICHARD III,BELASCO,13930965,94,147748,28,113,141
TWELVE ANGRY MEN,AMERICAN AIRLINES,9325569,56,164852,32,228,260
TWENTIETH CENTURY,AMERICAN AIRLINES,3869161,54,72398,27,84,111
TWILIGHT OF THE GOLDS,BOOTH,496355,0,22655,15,29,44
TWILIGHT: LOS ANGELES,CORT,1106723,0,41770,7,72,79
TWO SHAKESPEAREAN ACTORS,CORT,676876,0,48118,33,29,62
TWO TRAINS RUNNING,WALTER KERR,3043768,0,132923,7,160,167
UNCLE VANYA,BROOKS ATKINSON,2366742,37,64242,29,49,78
Uncle Vanya 1995,CIRCLE,421847,0,17968,23,29,52
UPTOWN...IT'S HOT,LUNT-FONTANNE,489307,0,21329,13,24,37
URBAN COWBOY,BROADHURST,1288667,54,23533,26,60,86
URINETOWN,HENRY MILLER,34815864,66,524188,25,965,990
VANYA AND SONIA AND MASHA AND SPIKE,GOLDEN,13130430,94,138147,11,189,200
VENUS IN FUR,FRIEDMAN,9550145,76,124848,37,191,228
VIA DOLOROSA,BOOTH,1751272,31,55886,15,99,114
VICTOR/VICTORIA,MARQUIS,58754023,53,995827,25,734,759
VINCENT IN BRIXTON,Golden,1915989,38,50193,23,69,92
VIOLET,AMERICAN AIRLINES,6616618,70,94762,27,128,155
VOICES IN THE DARK,LONGACRE,1245034,30,42090,12,68,80
WAIT UNTIL DARK,BROOKS ATKINSON,4125132,45,91598,11,97,108
WAITING FOR GODOT,STUDIO 54,6908255,62,111164,32,84,116
WAITING IN THE WINGS,WALTER KERR,3146238,60,52581,16,69,85
WAITRESS,BROOKS ATKINSON,184781903,116,1580963,33,1666,1699
WAR HORSE,VIVIAN BEAUMONT,74975253,102,726281,33,718,751
WAR PAINT,NEDERLANDER,24811139,93,264985,33,236,269
WELCOME TO THE CLUB,MUSIC BOX,139596,0,7113,20,12,32
WELL,LONGACRE,1162288,42,27536,23,52,75
WEST SIDE STORY,BROADWAY,19788753,116,170520,77,21,98
West Side Story 2009-2011,PALACE,93028454,85,1074462,27,748,775
WHAT THE CONSTITUTION MEANS TO ME,HAYES,11325732,107,105418,19,164,183
WHAT'S WRONG WITH THIS PICTURE,BROOKS ATKINSON,608942,0,32528,27,12,39
WHO'S AFRAID OF VIRGINIA WOOLF?,LONGACRE,12116848,69,179970,31,276,307
WHOOPI,LYCEUM,2584289,51,50144,12,72,84
WHOOPI GOLDBERG,LYCEUM,1973901,0,87564,18,156,174
WICKED,GERSHWIN,1438996792,112,12753338,25,7159,7184
WILD HONEY,VIRGINIA,603624,0,25153,8,28,36
WILDER WILDER WILDER,CIRCLE,301716,0,17161,14,30,44
WILL ROGERS' FOLLIES,PALACE,54685976,0,1155341,33,981,1014
WIND IN THE WILLOWS,NEDERLANDER,196902,0,10740,25,4,29
WISHFUL DRINKING,STUDIO 54,5649906,56,102216,15,118,133
WIT,FRIEDMAN,2302405,52,44863,24,60,84
WOLF HALL PARTS ONE & TWO,WINTER GARDEN,9970896,96,104415,21,103,124
WOMEN ON THE VERGE OF A NERVOUS BREAKDOWN,BELASCO,4820272,66,73822,30,69,99
WONDERFUL TENNESSEE,PLYMOUTH,572731,0,22792,20,9,29
WONDERFUL TOWN,AL HIRSCHFELD,29830255,66,449677,16,497,513
WONDERHOUSE,BROADHURST,96031,0,5339,11,9,20
WONDERLAND,MARQUIS,4438971,52,84646,30,33,63
XANADU,HELEN HAYES,17126310,70,240985,49,512,561
YANNI,LUNT-FONTANNE,527138,107,4925,0,5,5
YOU CAN'T TAKE IT WITH YOU,LONGACRE,13227324,83,160368,39,169,208
YOU NEVER CAN TELL,CIRCLE,1153718,0,61296,23,125,148
YOU'RE A GOOD MAN CHARLIE BROWN,AMBASSADOR,3630774,43,84237,14,149,163
YOU'RE WELCOME AMERICA. A FINAL NIGHT WITH GEORGE W. BUSH,CORT,6723050,101,66710,18,46,64
ZORBA,BROADWAY,2470523,0,88377,0,80,80
ZOYA'S APARTMENT,CIRCLE,363761,0,22745,13,45,58
